Program,xPONENT,,MAGPIX,,,,,,,,,,,,,
Build,4.3.309.1,,,,,,,,,,,,,,,
Date,9/1/23,9:42 AM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SN,MAGPX19057723,,,,,,,,,,,,,,,
Batch,20230901_training_P3,,,,,,,,,,,,,,,
Version,1,,,,,,,,,,,,,,,
Operator,,,,,,,,,,,,,,,,
ComputerName,DESKTOP-LJ3IQ3H,,,,,,,,,,,,,,,
Country Code,7F,,,,,,,,,,,,,,,
ProtocolName,DRC Sample Plate,,,,,,,,,,,,,,,
ProtocolVersion,1,,,,,,,,,,,,,,,
ProtocolDescription,Sample plate with Control IDs mapped,,,,,,,,,,,,,,,
ProtocolDevelopingCompany,,,,,,,,,,,,,,,,
SampleWash,On,,,,,,,,,,,,,,,
SampleVolume,50 uL,,,,,,,,,,,,,,,
BatchStartTime,9/1/23 9:42,,,,,,,,,,,,,,,
BatchStopTime,9/1/23 10:51,,,,,,,,,,,,,,,
BatchDescription,<None>,,,,,,,,,,,,,,,
ProtocolPlate,Name,Current 96-well plate,Type,96,Plates,1,,,,,,,,,,
ProtocolMicrosphere,Map,BP 50 regions,Type,MagPlex,Count,7,,,,,,,,,,
ProtocolAnalysis,Off,,,,,,,,,,,,,,,
NormBead,None,,,,,,,,,,,,,,,
ProtocolHeater,Off,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Most Recent Calibration and Verification Results:,,,,,,,,,,,,,,,,
Last CAL Calibration,Passed 09/01/2023 09:04:21,,,,,,,,,,,,,,,
Last VER Verification,Passed 09/01/2023 09:05:23,,,,,,,,,,,,,,,
Last Fluidics Test,Passed 09/01/2023 09:06:43,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CALInfo:,,,,,,,,,,,,,,,,
Calibrator,,,,,,,,,,,,,,,,
Lot,ExpirationDate,CalibrationTime,CL1Temp,CL2Temp,RP1LongTemp,RP1ShortTemp,CL1Current,CL2Current,RP1LongCurrent,RP1ShortCurrent,CL1Factor,CL2Factor,RP1LongFactor,RP1ShortFactor,Result,MachineSerialNo
B98915,12/18/24,9/1/23 9:04,25.4,25.4,25.4,25.4,232,249,306,306,0.00706,0.00695,0.00392,0.1178,Pass,MAGPX18958823
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Samples,95,Min Events,50,Per Bead,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
DataType:,Median,,,,,,,,,,,,,,,
Location,Sample,SNAP,WNV,YF,JE3,ZIKA,DENV,CHIKV,GLURPR2,CSP,PfAMA1,PfMSP119,WRUV,WMEV,Total Events,
"1(1,A1)",Unknown1,5115,883,9885,10005,10495,831,160,3,6,3,35,1352,651,1130,
"2(1,B1)",Unknown2,3933,88575,42195,61985,92105,2414,106,3,6,594,29,5,3,1017,
"3(1,C1)",Unknown3,451,563,5365,6315,831,279,270,22192,224,51660,43580,8125,52,1090,
"4(1,D1)",Unknown4,240,2145,246,272,220,303,217,6,59,18,44,2478,443,949,
"5(1,E1)",Unknown5,1395,194,1915,194,146,229,315,20670,3550,42740,8273,3049,105,949,
"6(1,F1)",Unknown6,167,1715,187,206,160,316,335,61,25,17814,1370,1602,3370,1079,
"7(1,G1)",Unknown7,127,128,1395,158,139,93,113,6,2,73,7333,1691,1379,1041,
"8(1,H1)",Unknown8,1079,1163,923,1063,13105,544,469,7,11,49,108,11185,465,1025,
"9(1,A2)",Unknown9,596,12345,1397,13945,13725,9556,314,28,43,7095,2602,8782,11346,1047,
"10(1,B2)",Unknown10,473,1893,1304,12405,6185,141,348,25,18,938,1212,131,807,1116,
"11(1,C2)",Unknown11,232,2165,244,258,224,2354,130,4,3,21,147,6928,8679,1071,
"12(1,D2)",Unknown12,338,219,179,2165,226,310,357,9375,19166,52918,13497,7464,837,1122,
"13(1,E2)",Unknown13,2565,3105,297,324,3165,849,12530,6,63,46472,41,1607,60,1173,
"14(1,F2)",Unknown14,282,318,173,179,327,393,284,789,57,2723,44253,5846,2816,1183,
"15(1,G2)",Unknown15,1220,2739,14975,2109,2858,4544,253,4,6,10,6,1102,4612,1121,
"16(1,H2)",Unknown16,591,7355,737,824,653,436,5323,166,1058,48854,562,7616,1386,1097,
"17(1,A3)",Unknown17,6885,1043,10795,12485,1287,10361,317,3,6,594,29,5,3,1095,
"18(1,B3)",Unknown18,366,297,348,394,313,2579,12258,9,11,85,79,15694,5430,1126,
"19(1,C3)",Unknown19,595,815,170,5005,248,75,2042,14455,1240,45042,44,4843,177,1236,
"20(1,D3)",Unknown20,840,299,2915,273,292,285,589,4,4,10,4,8,4,1196,
"21(1,E3)",Unknown21,2495,300,248,278,2175,357,1862,1837,34,50729,231,746,626,1087,
"22(1,F3)",Unknown22,1895,230,2515,253,214,329,278,37161,749,56100,38597,27,25,1135,
"23(1,G3)",Unknown23,98,105,81,96,96,14876,779,15,24,12,33,15064,467,1182,
"24(1,H3)",Unknown24,2945,3665,331,383,367,2256,1651,20670,3550,42740,8273,3049,105,1175,
"25(1,A4)",Unknown25,221,278,294,352,2375,6459,233,789,57,2723,44253,5846,2816,1153,
"26(1,B4)",Unknown26,275,307,220,2615,228,432,2382,5,5,6,1204,545,73,1110,
"27(1,C4)",Unknown27,287,312,3335,382,3635,9648,3760,6573,8,1446,178,9314,1159,1186,
"28(1,D4)",Unknown28,116,167,174,179,1205,497,6967,13982,1312,15610,11667,2403,9607,1195,
"29(1,E4)",Unknown29,10,7,16,13,11,174,237,21028,97,56504,120,1,7,1201,
"30(1,F4)",Unknown30,170,1765,205,2155,169,405,164,8,7,119,207,12,8,1210,
"31(1,G4)",Unknown31,881,1149,1091,1233,1405,1057,595,4,4,10,4,8,4,1171,
"32(1,H4)",Unknown32,213,3055,2125,220,2665,6042,6620,4,5,4,37,6775,771,1257,
"33(1,A5)",Unknown33,418,530,4155,494,454,461,237,1957,4839,54268,1722,4938,843,1226,
"34(1,B5)",Unknown34,235,2155,2165,2225,2275,2997,336,29,209,13390,235,4849,5481,1108,
"35(1,C5)",Unknown35,361,4265,4155,4825,406,404,206,11,32,24,31,53,1213,1173,
"36(1,D5)",Unknown36,3675,555,576,575,661,2208,1704,35,108,2559,466,9034,445,1073,
