Program,xPONENT,,MAGPIX,,,,,,,,,,,,,
Build,4.3.309.1,,,,,,,,,,,,,,,
Date,9/1/23,9:42 AM,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
SN,MAGPX19057723,,,,,,,,,,,,,,,
Batch,20230901_training_P4,,,,,,,,,,,,,,,
Version,1,,,,,,,,,,,,,,,
Operator,,,,,,,,,,,,,,,,
ComputerName,DESKTOP-LJ3IQ3H,,,,,,,,,,,,,,,
Country Code,7F,,,,,,,,,,,,,,,
ProtocolName,Sample Plate,,,,,,,,,,,,,,,
ProtocolVersion,1,,,,,,,,,,,,,,,
ProtocolDescription,Sample plate with Control IDs mapped,,,,,,,,,,,,,,,
ProtocolDevelopingCompany,,,,,,,,,,,,,,,,
SampleWash,On,,,,,,,,,,,,,,,
SampleVolume,50 uL,,,,,,,,,,,,,,,
BatchStartTime,9/1/23 9:42,,,,,,,,,,,,,,,
BatchStopTime,9/1/23 10:51,,,,,,,,,,,,,,,
BatchDescription,<None>,,,,,,,,,,,,,,,
ProtocolPlate,Name,Current 96-well plate,Type,96,Plates,1,,,,,,,,,,
ProtocolMicrosphere,Map,BP 50 regions,Type,MagPlex,Count,7,,,,,,,,,,
ProtocolAnalysis,Off,,,,,,,,,,,,,,,
NormBead,None,,,,,,,,,,,,,,,
ProtocolHeater,Off,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Most Recent Calibration and Verification Results:,,,,,,,,,,,,,,,,
Last CAL Calibration,Passed 09/01/2023 09:04:21,,,,,,,,,,,,,,,
Last VER Verification,Passed 09/01/2023 09:05:23,,,,,,,,,,,,,,,
Last Fluidics Test,Passed 09/01/2023 09:06:43,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
CALInfo:,,,,,,,,,,,,,,,,
Calibrator,,,,,,,,,,,,,,,,
Lot,ExpirationDate,CalibrationTime,CL1Temp,CL2Temp,RP1LongTemp,RP1ShortTemp,CL1Current,CL2Current,RP1LongCurrent,RP1ShortCurrent,CL1Factor,CL2Factor,RP1LongFactor,RP1ShortFactor,Result,MachineSerialNo
B98915,12/18/24,9/1/23 9:04,25.4,25.4,25.4,25.4,232,249,306,306,0.00706,0.00695,0.00392,0.1178,Pass,MAGPX18958823
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Samples,95,Min Events,50,Per Bead,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Results,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
DataType:,Median,,,,,,,,,,,,,,,
Location,Sample,SNAP,WNV,YF,JE3,ZIKA,DENV,CHIKV,GLURPR2,CSP,PfAMA1,PfMSP119,WRUV,WMEV,Total Events,
"1(1,A1)",Unknown1,2975,389,402,5315,255,381,3837,19,38,3821,643,6505,1752,1119,
"2(1,B1)",Unknown2,258,360,312,344,2525,1852,338,9,75,9081,22,2552,722,1048,
"3(1,C1)",Unknown3,1935,262,2335,269,230,310,146,937,1690,47253,1581,6287,349,1072,
"4(1,D1)",Unknown4,295,3675,368,4305,359,1878,352,2128,1544,52240,99,9491,806,952,
"5(1,E1)",Unknown5,17565,3002,3655,2793,2812,8287,163,4,7,236,40,600,492,956,
"6(1,F1)",Unknown6,441,717,6545,824,903,1198,5456,7,23,3964,13215,217,511,1059,
"7(1,G1)",Unknown7,8,12,10,12,8,1608,9293,16,17,370,15,474,4487,1031,
"8(1,H1)",Unknown8,349,356,385,457,398,1045,285,4,245,287,63,10,637,1026,
"9(1,A2)",Unknown9,2555,168,1745,213,208,231,253,937,1690,47253,1581,6287,349,1056,
"10(1,B2)",Unknown10,191,586,523,422,237,4258,437,76,21,57526,45169,3875,106,1104,
"11(1,C2)",Unknown11,1825,220,144,195,203,613,168,21,60,1329,100,771,736,1052,
"12(1,D2)",Unknown12,361,385,383,434,408,4334,14338,1345,35,56,1151,18,14,1144,
"13(1,E2)",Unknown13,187,162,1775,226,1635,2126,2010,85,25,395,26671,24,15,1146,
"14(1,F2)",Unknown14,193,212,215,261,6825,1047,312,26,1376,60,105,62,6,1204,
"15(1,G2)",Unknown15,265,2615,2695,323,2935,3936,189,10999,3217,52891,34126,252,82,1114,
"16(1,H2)",Unknown16,265,379,295,364,2835,7682,139,2101,35,41055,332,3243,720,1113,
"17(1,A3)",Unknown17,6425,967,824,995,1175,1625,1313,2613,1452,56811,13600,3,19,1101,
"18(1,B3)",Unknown18,266,3125,320,378,319,3226,359,42568,25543,9384,38021,2431,8804,1110,
"19(1,C3)",Unknown19,332,347,4255,494,3585,6975,197,6,10,37434,29,7,26480,1245,
"20(1,D3)",Unknown20,654,2225,231,294,230,19905,254,4,3,29,60,2202,411,1190,
"21(1,E3)",Unknown21,194,212,231,240,186,600,231,10238,74,43916,3805,924,913,1072,
"22(1,F3)",Unknown22,2585,542,2655,301,2665,2048,253,11,17,22137,28,5349,1657,1154,
"23(1,G3)",Unknown23,1553,26425,24465,2731,3559,268,487,19,6,6,118,4693,770,1188,
"24(1,H3)",Unknown24,343,412,4395,525,4175,3386,1462,9616,12918,56858,24014,965,259,1166,
"25(1,A4)",Unknown25,786,2855,227,2195,238,28551,118,26946,5799,53485,49284,6571,583,1166,
"26(1,B4)",Unknown26,440,690,637,7415,963,28817,254,54604,2878,34088,54889,43,847,1118,
"27(1,C4)",Unknown27,239,222,208,210,156,106,193,15,12,13,12,13,451,1173,
"28(1,D4)",Unknown28,203,223,238,250,224,1383,273,13,2,20,1562,2,929,1194,
"29(1,E4)",Unknown29,1175,1919,19255,2088,2328,1387,2841,54604,2878,34088,54889,43,847,1188,
"30(1,F4)",Unknown30,100,111,93,119,99,2533,170,5740,472,40161,196,22743,3163,1189,
"31(1,G4)",Unknown31,5495,321,356,406,3645,987,294,5,4,5,10,9,2067,1187,
"32(1,H4)",Unknown32,78,73,89,105,71,1998,1593,31718,467,40712,3832,1720,311,1304,
"33(1,A5)",Unknown33,1239,415,470,424,408,43695,2612,55,15957,1473,939,1711,20844,1240,
"34(1,B5)",Unknown34,2205,2455,253,298,250,2031,688,1154,8531,47486,59,12,496,1107,
"35(1,C5)",Unknown35,1875,319,140,172,129,1469,2245,18,12,57,176,13641,12799,1169,
"36(1,D5)",Unknown36,5645,906,838,965,1107,7120,237,19,10,340,12893,4840,1074,1057,
